"Index","Open","High","Low","Close","Volume"
1970-01-02,16.89,17.72,16.89,17.69,36849
1970-01-03,17.85,17.95,17.48,17.85,42342
1970-01-04,17.7,17.86,17.63,17.82,22784
1970-01-05,17.65,17.79,17.36,17.39,27024
1970-01-06,17.39,17.5,17.23,17.31,17539
1970-01-07,17.25,17.3,16.73,16.75,18771
1970-01-08,16.15,16.7,15.95,16.63,28847
1970-01-09,16.83,16.93,16.48,16.59,17600
1970-01-10,16.55,17.24,16.51,17.21,15634
1970-01-11,17.25,17.25,16.76,16.95,17451
1970-01-12,17.03,17.4,16.87,17.33,17121
1970-01-13,17.26,17.54,17.24,17.35,22899
1970-01-14,17.25,17.33,17.1,17.25,15390
1970-01-15,17.42,17.65,17.13,17.18,50280
1970-01-16,17.07,17.26,16.87,17.01,37298
1970-01-17,16.88,17.12,16.78,17.09,31203
1970-01-18,16.97,17.18,16.89,17.04,29833
1970-01-19,16.88,16.93,16.67,16.71,32070
1970-01-20,16.75,17.03,16.68,16.96,27005
1970-01-21,16.98,17.04,16.82,16.94,18786
1970-01-22,16.85,16.92,16.77,16.82,14631
1970-01-23,16.9,17.02,16.9,16.94,15072
1970-01-24,17.02,17.24,17,17.14,24230
1970-01-25,17.39,17.39,17.1,17.14,19033
1970-01-26,17.15,17.31,17.09,17.28,20930
1970-01-27,17.48,17.68,17.41,17.66,20620
1970-01-28,17.6,17.6,17.37,17.42,21576
1970-01-29,17.22,17.29,17.11,17.13,24389
1970-01-30,17.18,17.22,17.04,17.11,18908
1970-01-31,17.02,17.04,16.66,16.75,21432
1970-02-01,16.71,16.77,16.64,16.67,11556
1970-02-02,16.87,16.92,16.58,16.61,20625
1970-02-03,16.56,16.57,16.37,16.45,22955
1970-02-04,16.52,16.72,16.4,16.7,20989
1970-02-05,16.57,16.76,16.48,16.62,14029
1970-02-06,16.48,16.69,16.47,16.6,34556
1970-02-07,16.7,16.71,16.38,16.46,31388
1970-02-08,16.2,16.2,15.9,15.92,48162
1970-02-09,15.75,16.01,15.7,15.78,39171
1970-02-10,15.96,16.2,15.89,16.01,29440
1970-02-11,15.76,15.85,15.55,15.72,35769
1970-02-12,15.47,15.72,15.42,15.67,36218
1970-02-13,15.85,15.86,15.48,15.5,25887
1970-02-14,15.5,15.74,15.39,15.59,33381
1970-02-15,15.38,15.52,15.27,15.37,24798
1970-02-16,15.37,15.51,15.28,15.45,18688
1970-02-17,15.53,15.65,15.44,15.49,16672
1970-02-18,15.76,16.12,15.73,16,27168
1970-02-19,16.25,16.33,16.15,16.29,17538
1970-02-20,15.95,15.95,15.53,15.59,17475
1970-02-21,15.55,15.71,15.47,15.68,15009
1970-02-22,15.75,16.17,15.75,16,15687
