,Index,Open,High,Low,Close,Volume,Series,macd,rsi,cci,adx,turbulence
0,19700102,16.89,17.72,16.89,17.69,36849,1,0.0,100.0,66.666667,100.0,0.0
0,19700102,0.508,0.529,0.5065,0.5276,16531,2,0.0,100.0,66.666667,100.0,0.0
0,19700102,201.0,204.5,200.7,203.4,4687,3,0.0,0.0,-66.666667,100.0,0.0
0,19700102,20.75,21.16,20.7,20.98,5028,4,0.0,100.0,66.666667,100.0,0.0
0,19700102,162.5,163.25,161.9,162.0,127,5,0.0,100.0,66.666667,100.0,0.0
0,19700102,0.7676,0.7698,0.7667,0.7691,3171,6,0.0,100.0,66.666667,100.0,0.0
0,19700102,8227.0,8233.0,8160.0,8201.0,28307,7,0.0,0.0,-66.666667,100.0,0.0
0,19700102,1.42,1.435,1.42,1.435,22,8,0.0,0.0,-66.666667,100.0,0.0
0,19700102,497.0,502.0,493.0,496.3,947,9,0.0,100.0,66.666667,100.0,0.0
0,19700102,77.0,77.9,76.8,77.72,1249,10,0.0,0.0,66.666667,100.0,0.0
1,19700103,17.85,17.95,17.48,17.85,42342,1,0.00359,100.0,66.666667,100.0,0.0
1,19700103,0.5325,0.5385,0.5245,0.5359,16785,2,0.000186,100.0,66.666667,100.0,0.0
1,19700103,203.0,203.5,199.7,200.2,4171,3,-0.071795,0.0,-66.666667,100.0,0.0
1,19700103,21.1,21.35,21.05,21.33,4819,4,0.007853,100.0,66.666667,100.0,0.0
1,19700103,163.9,164.5,163.5,164.4,75,5,0.053846,100.0,66.666667,100.0,0.0
1,19700103,0.7689,0.7737,0.7683,0.7729,6311,6,8.5e-05,100.0,66.666667,100.0,0.0
1,19700103,8030.0,8048.0,7866.0,7869.0,46068,7,-7.448718,0.0,-66.666667,100.0,0.0
1,19700103,1.39,1.4,1.305,1.4,26,8,-0.000785,0.0,-66.666667,100.0,0.0
1,19700103,495.0,508.5,492.0,504.6,1111,9,0.186218,100.0,66.666667,100.0,0.0
1,19700103,78.05,78.07,77.4,77.55,517,10,-0.003814,0.0,66.666667,100.0,0.0
2,19700104,17.7,17.86,17.63,17.82,22784,1,0.003644,83.754513,52.261307,100.0,0.0
2,19700104,0.5325,0.537,0.529,0.5348,14618,2,0.000203,87.943003,53.877551,100.0,0.0
2,19700104,199.0,201.5,199.0,199.6,4800,3,-0.110087,0.0,-86.131387,100.0,0.0
2,19700104,21.34,21.9,21.33,21.9,4938,4,0.027681,100.0,100.0,100.0,0.0
